"2051","16780729","iqvia-holdings","IQVIA Holdings, Inc. (IQV)"
"2052","16118159","adobe","Adobe Inc. (ADBE)"
"2053","16105761","idex-biometrics","Idex Biometrics"
"2053","16305435","care-dx","CareDx, Inc.(CDNA)"
"2054","16117984","plug-power","Plug power"
"2055","16099740","c-brain","Cbrain"
"2056","16119174","pacific-biosciences-of","pacific biosciens"
"2057","17471402","olink-holding-publ","Olink"
"2058","16420087","seres-therapeutics","Seres theraputics"
"2059","16240691","veeva-systems-class","Veeva"
"2060","16120387","advanced-micro-devices","AMD"
"2061","16118855","intel-corporation","Intel"
"2062","16967907","moderna","Moderna"
"2063","16120074","prothena-corporation-ordinary","Prothena coproation plc"
"2064","16121267","freeport-mc-mo-ran","Freeport-mcmora"
"2065","16129136","infineon-technologies","infinion technologies"
"2066","16119284","regeneron-pharmaceuticals","regeneron pharma"
"2067","17528189","pila-pharma","pila pharma"
