"1000","16309430","i-shares-core-msci","iShares worls index acc"
"1016","16099858","sparinvest-index-djsi-world-kl","sparinvest-index-djsi-world-kl indeksfond","-"
"1001","16100293","sparinvest-index-globale-akt-m","sparinvest-index-globale-akt-m indeksfond","-"
"1002","16099865","Sparvinvest-index-USA-Growth","Sparvinvest-index-USA-Growth indeksfond"
"1003","16099867","Sparvinvest-index-USA-value","Sparvinvest-index-USA-value indeksfond","-"
"1004","16099866","Sparvinvest-index-USA-smallcap","Sparvinvest-index-USA-smallcap indeksfond","-"
"1005","16087488","sparindex-index-omx","sparindex-index-omx indeksfond","-"
"1006","16102899","sparindex-index-emerging","sparindex-index-emerging indeksfond","-"
"1007","16099860","sparindex-index-europa-growth","sparindex-index-europa-growth indeksfond","-"
"1008","16099861","sparindex-index-europa-value","sparindex-index-europa-value indeksfond","-"
"1009","16099859","sparindex-index-europa","sparindex-index-europa smallcap indeksfond","-"
"9001","F00000TH8X","Nordnet Danmark A","Nordnet Danmark A"
"9002","F000002J6V","Nordnet Indexfond Sverige","Nordnet Indexfond Sverige"
"9003","F00000TH8U","Nordnet Indeksfond Norge","Nordnet Indeksfond Norge"
"9004","F00000TH8W","Nordnet Indeksirahasto Suomi","Nordnet Indeksirahasto Suomi"
"3003","16099911","danske-bank","Danske Bank A/S (DANSKE)","-"
"3001","16256554","novo-nordisk-b-a-s","novo-nordisk-b-a-s Aktie"
"3005","16099938","vestas-wind-systems","Vestas Wind Systems A/S (VWS)"
"3004","16099933","Demant-a-s","Demant-a-s Aktie"
"3006","16099924","ap-moller-marsk","A.P. Møller - Mærsk B A/S (MAERSK B)"
"3002","16100022","dsv-panalpina","dsv-panalpina Aktie"
"3007","16557154","orsted",Ørsted A/S (ORSTED)"
"3008","16270886","iss","ISS A/S (ISS)"
"3009","16100070","genmab","Genmab A/S (GMAB)"
"3010","16099978","ambu","Ambu A/S (AMBU B)"
"3011","16099928","coloplast-b","Coloplast B A/S (COLO B)"
"3012","16101996","pandora","Pandora A/S (PNDORA)"
"3013","16101766","chr-hansen-holding","Chr. Hansen Holding A/S (CHR)"
"3014","16099914","carlsberg-b","Carlsberg B A/S (CARL B)"
"3015","16100071","novozymes-b","Novozymes B A/S (NZYM B)"
"3016","16099912","jyske-bank","Jyske Bank A/S (JYSK)"
"3017","16099923","ap-moller-marsk",A.P. Møller - Mærsk A A/S (MAERSK A)"
"3018","16099929","gn-store-nord","GN Store Nord A/S (GN)"
"3019","16100043","rockwool-international-b","Rockwool International B A/S (ROCK B)"
"3020","16100064","chemo-metec",ChemoMetec A/S (CHEMM)"
"3021","16100068","nordea-bank-abp","Nordea Bank Abp (NDA DK)"
"3022","16097566","tryg","Tryg A/S (TRYG)"
"3023","16099948","royal-unibrew",Royal UNIBREW A/S (RBREW)"
"3024","16099930","fl-smidth-co","FLSmidth & Co. A/S (FLS)"
"3025","16099980","bavarian-nordic","Bavarian Nordic A/S (BAVA)"
"3026","16200075","sim-corp",SimCorp A/S (SIM)"
"3027","16874444","netcompany-group",Netcompany Group A/S (NETC)"
"3060","16221075","formuepleje-penta-kl","formuepleje-penta-kl Aktie"
"4110","16128996","xtrackers-msci-china","xtrackers-msci-china Eft"
"4112","16128786","i-shares-core-sp","iShares Core S&P 500 UCITS ETF USD (Acc) (SXR8)"
"4113","16422571","spdr-sp-us","SPDR S&P U.S. Energy Select Sector UCITS ETF (Acc) (ZPDE)","-"
"4100","16100224","danske-inv-danmark","Danske bank C25 sub for Nordnet indeksfond danmark","-"
"4101","16528302","xtrackers-msci-world","Xtrackers MSCI World Information Technology UCITS ETF 1C (XDWT)"
"4114","16573898","i-shares-edge-msci","iShares Edge MSCI Europe Minimum Volatility UCITS ETF EUR (Acc" 
"4115","16128227","xtrackers-msci-europe","Xtrackers MSCI Europe Small Cap UCITS ETF 1C (DX2J)"
"4001","16117028","spdr-retail-etf","SPDR Retail ETF (XRT)","-"
"4002","16422574","spdr-sp-us","SPDR S&P U.S. Industrials Select Sector UCITS ETF (Acc) (ZPDI)","-"
"4003","16422576","spdr-sp-us","SPDR S&P U.S. Technology Select Sector UCITS ETF (Acc) (ZPDT)","-"
"4016","16339038","ark-innovation-etf","ark-innovation-etf Etf"
"4017","16995918","ark-fintech-innovation","ARK Fintech Innovation ETF (ARKF)"
"4018","16339037","ark-genomic-revolution","ARK Genomic Revolution ETF (ARKG)"
"4019","16324149","ark-autonomous-technology","ARK Autonomous Technology & Robotics ETF (ARKQ)"
"6001","16297811","gabelli-global-small","Gabelli Global Small and Mid Cap Value Trust (The)"
"6002","17086748","vanguard-ftse-developed","Vanguard FTSE Developed Europe ex UK UCITS ETF - (EUR) Accumulating","-"
"6004","16309430","i-shares-core-msci","iShares Core MSCI World UCITS ETF (EUNL)","-"
"6005","16128163","xtrackers-msci-emerging","xtrackers-msci-emerging Etf"
"6006","16989877","lyxor-stoxx-europe","Lyxor STOXX Europe 600 Healthcare UCITS ETF - Acc"
"6003","16128533","lyxor-msci-world" ,"Lyxor MSCI World Information Technology TR UCITS ETF (LYPG)","-"
"6101","16603004","i-shares-automation-robotics","i-shares-automation-robotics"
"6102","16603006","i-shares-healthcare-innovation","i-shares-healthcare-innovation"
"6103","17255786","lg-battery-value-chain","lg-battery-value-chain"
"6104","16528294","xtrackers-msci-world","Xtrackers MSCI World Health Care UCITS ETF 1C (XDWH)"
"6106","16561306","i-shares-global-clean","i-shares-global-clean"
"6107","17319856","hangins-tech-megatrend","hangins-tech-megatrend"
"6007","16477180","i-shares-sp-500","iShares S&P 500 Health Care Sector UCITS ETF USD (Acc) (QDVG)","-"
"6008","16603006","i-shares-healthcare-innovation","iShares Healthcare Innovation UCITS ETF USD (Acc) (2B78)","-"
"6009","16422572","spdr-sp-us","SPDR S&P U.S. Financials Select Sector UCITS ETF (Acc) (ZPDF)","-"
"6010","16874015","i-shares-sp-us","iShares S&P U.S. Banks UCITS ETF USD (Acc) (IUS2)"
"6011","16876477","iShares MSCI India UCITS ETF USD (Acc) (QDV5)","iShares MSCI India UCITS ETF USD (Acc) (QDV5)"
"6012","16129054","Xtrackers MSCI Philippines UCITS ETF 1C (XPQP)","Xtrackers MSCI Philippines UCITS ETF 1C (XPQP)"
"6013","16128993","xtrackers-msci-malaysia","Xtrackers MSCI Malaysia UCITS ETF 1C (XCS3)"
"6014","16128969","xtrackers-msci-singapore","Xtrackers MSCI Singapore UCITS ETF 1C (XBAS)"
"6015","16128248","xtrackers-ftse-vietnam","Xtrackers FTSE Vietnam Swap UCITS ETF 1C (DXS7)","-"
